Text,label
"RT @PowerUSAID : Putin is using hunger as a weapon of war, targeting wheat stocks &amp; destroying farmland. @UNOCHA estimates 1/4th of the country鈥檚 oblasts w/ ongoing fighting face immediate food insecurity. Avoiding mines &amp; bullets, Ukrainian farmers keep working the fields to feed their country. https://t.co/e76Nvg7Tct",0
"RT @FPWellman : If you want to lecture me about being a bad person for celebrating Russian losses...save your time. I've been to war. I've lost men. Putin sent them but its Russian troops slaughtering, looting and raping Ukraine. They made that choice on the ground. I'm not mourning them.",0
RT @CTVNews : The woman who would make Putin pay: Meet Ukraine's war crimes investigator https://t.co/HyQGzN6Udj https://t.co/yICaAaGomp,1
RT @TheUSASingers : A vote for the Republican Party is a vote for Vladimir Putin.,1
"This war has always been about Putin's TOXIC GRUDGE, when Ukraine claimed its Independence in August of 1991. He's never let that fury go, and instead has tried to wipe them out. #Ukraine 馃嚭馃嚘馃檹鉂わ笍

https://t.co/LdXKF3sOGG",0
"RT @navalny : 1/31 Truth and free information hit Putin's insane regime just as hard as Javelins.
This is a thread about opening the second front against the war criminal from the Kremlin 鈥 the informational front.",0
"RT @AaronParnas : If Putin's army cannot win in Ukraine, it certainly has no chance against NATO. 

He would be an absolute fool to attack NATO convoys.",0
"@McFaul Putin wants, or may do. If he ends civilization bc nations do what is right, then I guess that's how we go out. Kind of hard to believe he still exists really.",0
@KremlinRussia_E Putin has shown the world how his corruption has ruined Russia- third rate country thst could not overcome a regional country.,0
RT @jihadismail10 : Breaking : Putin announced plans to radically increase the share of settlements in rubles &amp; national currencies,1
"RT @trish_regan : When @pdoocy asks IMPORTANT questions on inflation, Biden鈥檚 press sec complains that they鈥檙e 鈥渟tupid鈥 questions.

NO @jrpsaki, these are not stupid questions. 

The entire Biden WH is just too STUPID to know the answers. 

Inflation is 8.5% for a reason &amp; it鈥檚 not Putin.",1
@LakotaMan1 If Russia ever lands on our shores (via Alaska) you can be sure that Putin will make every attempt to finish what the colonizers began! 馃う馃従,0
RT @levparnas : Putin didn鈥檛 need to do a full on invasion into Ukraine while Trump was in office.TFG was doing putins dirty work for him by extorting the Ukrainian President @ZelenskyyUa and holding up military aid that was approved by congress. Trump has blood 馃└ on his hands! #LevRemembers https://t.co/Iyy9Cd6lBr,0
RT @MSNBC : Ukraine seizes assets of Putin ally in crackdown on Russian corruption https://t.co/LWxfxmeyl6,1
"RT @McFaul : For more, read ""The West shouldn鈥檛 back down in the face of Putin鈥檚 threats."" 5/ END
https://t.co/Uw1jqBEgVy",1
"RT @anders_aslund : Last night, Russia bombed civilian centers in all Ukraine's currently 14 regions. Everybody sees it as Putin's personal revenge for Ukraine's sinking of the cruiser Moskva, which he does not recognize. How can Russia be ruled by a tyrant with the mindset of a toddler?",0
"RT @washingtonpost : Russian warship was hit by two Ukrainian missiles before sinking, Pentagon says https://t.co/W0rsFXACsJ",1
"How our Supreme Court achieved Putin's pet dream is not a mystery. We have our arrogant, success-insistent class too. KKK ring a bell? They learned how to queue up justices answerable to the Right Stuff. 6/",0
"@DetroitUki @bn880 @InnaSovsun Disrespect is that people deny their existence and devalue their death. The disrespect is that people keep saying that this is Putin's war, although it was not done by him. Denying these victims is a real disrespect",0
"Pentagon officials confirmed, Russian flagship Moskva SUNK BY UKRAINIAN NEPTUNE MISSILES MEANING PUTIN GOT PUNCHED IN THE FACE.

#RussianBlunder",1
"RT @tomiahonen : Let me add my 1 cents

[everybody pays attention]

The GROUND war is likely to last many months, but Ukraine will prevail

After Russian army is defeated on the ground, Putin will retailiate even more horribly via missile attacks against civilians

Key to ending war is Putin https://t.co/itSdxLs4df",1
"Don't mind me. Money, anyway. It is the principal weapon by which Putin is softening up the world for his takeover. It's spelled corruption, venal greed, which he says is easy, since everybody has his/her/their price. His price apparently is more than anybody else's. 4/",0
